ID_Produit,Produit,Categorie
0,Samsung S23,Electronics
1,Pouf Salon,Furniture
2,Chaise de bureau,Furniture
3,Pyjama Satin,Clothing
4,Lunettes de soleil,Accessories
5,Chemise en lin,Clothing
6,Lampe de chevet,Furniture
7,TV LG 55,Electronics
8,Console Entrée,Furniture
9,PlayStation 5,Electronics
10,Table basse bois,Furniture
11,Robe d'été,Clothing
12,Sac à main cuir,Accessories
13,PowerBank 20k,Electronics
14,Vase Céramique,Furniture
15,iPhone 15,Electronics
16,Canapé 3 places,Furniture
17,Bijoux Argent,Accessories
18,Enceinte JBL,Electronics
19,Tapis Berbère,Furniture
20,Armoire 2 portes,Furniture
21,PC Gamer Asus,Electronics
22,Porte-clés,Accessories
23,Casquette,Accessories
24,Miroir Doré,Furniture
25,Clé USB 64GB,Electronics
26,Caftan de fête,Clothing
27,MacBook Air,Electronics
28,Bureau d'angle,Furniture
29,Sweat à capuche,Clothing
30,Parapluie,Accessories
31,Smart Watch Xiaomi,Electronics
32,Rideaux Occultants,Furniture
33,Djellaba Moderne,Clothing
34,Ceinture Cuir,Clothing
35,Valise Voyage,Accessories
36,Portefeuille,Accessories
37,Sandales Cuir,Clothing
38,T-shirt Oversize,Clothing
39,Jean Slim Fit,Clothing
40,Cadre déco,Furniture
41,Appareil Photo Canon,Electronics
42,Echarpe Cachemire,Clothing
43,Abaya Soie,Clothing
44,Veste Denim,Clothing
45,Montre Luxe,Accessories
46,Coque iPhone,Accessories
47,Basket Nike,Clothing
48,Costume Homme,Clothing
49,Lit Double,Furniture
50,Imprimante HP,Electronics
51,Ecouteurs Bluetooth,Electronics
52,Tablette Lenovo,Electronics
53,Etagère Murale,Furniture
54,Sèche-cheveux Dyson,Electronics
